name,extID,minswitches,minduration
KALTENKIRCHEN SUED (Germany),008040428,2,2.933333333333333
KALTENKIRCHEN(HOLST) (Germany),008040415,2,2.966666666666667
KALTENKIRCHEN THERME (Germany),008040425,2,3.1166666666666667
NEUNKIRCHEN-ALTENSEE (Germany),008088424,2,6.35
GARMISCH-PARTENKIRCHEN (Germany),008020295,2,5.616666666666666
GARMISCH-PARTENKIRCHEN HAUSBERG (Germany),008088400,2,5.85
ANZENKIRCHEN (Germany),008026524,2,6.4
ALTENSTADT(HESS) (Germany),008011199,1,5.283333333333333
ALTENSTADT(ILLER) (Germany),008002242,1,6.2
ALTENSTADT-HOECHST (Germany),008011198,1,5.233333333333333
ALTENSTADT-LINDHEIM (Germany),008011201,1,5.383333333333334
ALTENSTADT(WALDNAAB) (Germany),008087369,1,4.766666666666667
ALTENTREPTOW (Germany),008028128,0,1.8666666666666667
ALTENGOERS (Germany),008001338,2,3.2
ALTENHUNDEM (Germany),008008262,1,5.15
LANDSBERG(LECH) (Germany),008002189,1,4.966666666666667
BERLIN LANDSBERGER ALLEE (Germany),008003349,0,Inf
LANDSBERG(L)SCHULE (Germany),008002201,1,4.95
LANDSBERG(B. HALLE/SAALE) (Germany),008023151,1,1.15
LANDSBERG(B. HALLE/SAALE) SUED (Germany),008023394,1,1.6
ALTOETTING (Germany),008020039,2,5.6
ALTINGEN(WUERTT) (Germany),008029328,2,6.733333333333333
ALTTANN (Germany),008029201,2,6.566666666666666
GOETTINGEN (Germany),008013051,0,2.533333333333333
ALZENAU BURG (Germany),008047703,1,4.95
ALZENAU NORD (Germany),008020888,1,4.883333333333334
ALZENAU(UNTERFR) (Germany),008047702,1,4.916666666666667
ALZENAU-KAELBERAU (Germany),008047704,1,4.983333333333333
ALZENAU-MICHELBACH (Germany),008047705,1,5.016666666666667
ALZEY (Germany),008019277,2,6.066666666666666
ALZEY SUED (Germany),008005575,2,6.583333333333333
ALZEY WEST (Germany),008044137,2,6.25
LEESE-STOLZENAU (Germany),008013712,1,3.4833333333333334
OTTERSBERG(HAN) (Germany),008001241,1,3.066666666666667
STETTEN AM HEUCHELBERG (Germany),008029649,2,6.1
GUENTERSBERGE (Germany),008059844,2,5.016666666666667
ALLERSBERG(ROTHSEE) (Germany),008072241,1,3.15
AMBERG (Germany),008026190,1,4.383333333333334
BAMBERG (Germany),008022090,0,2.6166666666666667
LUENEBURG (Germany),008001173,1,2.4
HORNEBURG (Germany),008001190,2,2.9
DERNEBURG(HAN) (Germany),008013377,1,2.9
RONNEBURG(THUER) (Germany),008006739,1,2.933333333333333
AMBURGO (Germany),008002710,0,1.75
MAGDEBURG HBF (Germany),008024001,0,1.7
DIEBURG (Germany),008011343,1,4.883333333333334
BUECKEBURG (Germany),008013574,1,2.8333333333333335
MERSEBURG (Germany),008023008,1,1.35
AMORBACH (Germany),008022645,3,5.683333333333334
KORBACH HBF (Germany),008005301,1,4.55
KORBACH SUED (Germany),008005303,2,4.666666666666667
AUERBACH(V) U BF (Germany),008006683,2,4.133333333333334
AUW AN DER KYLL (Germany),008025156,1,7.4
ANDERNACH-NAMEDY (Germany),008019010,1,6.316666666666666
ANDERNACH-MIESENHEIM (Germany),008025081,2,6.283333333333333
SONDERNACH (Germany),008084734,1,6.883333333333334
ANGERMUENDE (Germany),008028324,0,Inf
ANGERMUND (Germany),008008106,1,4.65
ANGERSDORF (Germany),008023043,1,1.4833333333333334
ANGERN-ROGAETZ (Germany),008024081,1,1.5166666666666666
TANGERMUENDE (Germany),008024569,1,1.4833333333333334
ANKLAM (Germany),008028425,0,2.216666666666667
FRANKLEBEN (Germany),008023019,2,1.6666666666666667
BAERENKLAU (Germany),008003549,1,1.1666666666666667
ANNABERG-BUCHHOLZ SUED (Germany),008006431,2,4.15
ANNABERG-BUCHHOLZ MITTE (Germany),008006430,2,4.116666666666666
ANNABERG-BUCHHOLZ UNTERER BF (Germany),008006429,2,4.066666666666666
BUCHHOLZ(BADEN) (Germany),008014336,1,6.733333333333333
DUISBURG-BUCHHOLZ (Germany),008010353,1,4.766666666666667
BOPPARD-BUCHHOLZ (Germany),008025254,2,6.816666666666666
BUCHHOLZ(ZAUCHE) (Germany),008003463,1,1.15
BUCHHOLZ(NORDHEIDE) (Germany),008001233,1,2.35
ANNABURG (Germany),008023258,1,1.8
ANNAKIRMESPLZ(DUEREN) (Germany),008088230,2,5.75
ANNWEILER AM TRIFELS (Germany),008019665,2,6.3
ANNWEILER-SARNSTALL (Germany),008092109,2,6.383333333333334
GENNWEILER (Germany),008080661,2,6.666666666666667
WINNWEILER (Germany),008019263,2,6.216666666666667
WANNWEIL (Germany),008029314,2,6.75
